Date,USD,CRUDE,GOLD
13-Sep-17,64.0099999,3127.8896,2994.971443
14-Sep-17,64.12300125,3202.036291,2988.759276
15-Sep-17,64.1099984,3195.448184,2992.954585
18-Sep-17,64.15799908,3196.673612,2966.619596
19-Sep-17,64.29999807,3218.554609,2962.032665
20-Sep-17,64.29299914,3262.715153,2975.384643
21-Sep-17,64.80999847,3285.465355,2953.755996
22-Sep-17,64.79499834,3290.153403,2964.614363
25-Sep-17,65.12699928,3346.532661,2978.353328
26-Sep-17,65.45999887,3408.406663,3001.515765
27-Sep-17,65.71499957,3425.000003,2980.039694
28-Sep-17,65.47000161,3423.657964,2964.016836
29-Sep-17,65.30999946,3374.346815,2966.425991
03-Oct-17,65.4849986,3314.63103,2949.626282
04-Oct-17,65.03000029,3281.374403,2947.600506
05-Oct-17,65.14500105,3293.951442,2943.323365
06-Oct-17,65.39999948,3268.104916,2942.959558
09-Oct-17,65.35500052,3241.946271,2971.379671
10-Oct-17,65.25000212,3290.851793,2981.203512
11-Oct-17,65.15999809,3334.17988,2977.413342
12-Oct-17,65.06000126,3296.369303,2983.186759
13-Oct-17,64.69999808,3328.711978,2981.043544
16-Oct-17,64.69999808,3368.243119,2990.824152
17-Oct-17,65.03000029,3367.085727,2968.327941
18-Oct-17,65.05499847,3392.395574,2959.105167
19-Oct-17,64.99499961,3355.851531,2966.346796
20-Oct-17,65.03999895,3355.452143,2958.247298
23-Oct-17,65.02299798,3390.724004,2946.92297
24-Oct-17,65.09000027,3403.974578,2952.238683
25-Oct-17,64.92500156,3398.851227,2939.697975
26-Oct-17,64.83999855,3398.312529,2935.969442
27-Oct-17,65.03999895,3461.882828,2926.560881
30-Oct-17,64.86000001,3512.631062,2930.076651
31-Oct-17,64.75000186,3511.330222,2925.079928
01-Nov-17,64.56499849,3533.100581,2922.122513
02-Nov-17,64.5750006,3511.942044,2926.817847
03-Nov-17,64.56000068,3547.427608,2918.51506
06-Nov-17,64.62499922,3641.366438,2922.968099
07-Nov-17,65.06000126,3727.188037,2940.804545
08-Nov-17,64.91999844,3706.970646,2950.270245
09-Nov-17,64.97499924,3715.985551,2957.048865
10-Nov-17,65.19000017,3726.967333,2959.367879
13-Nov-17,65.43999826,3719.133522,2957.45115
14-Nov-17,65.41000101,3669.050097,2954.340665
15-Nov-17,65.27000176,3609.15216,2962.699612
16-Nov-17,65.29500151,3606.699499,2949.904718
